"t" "m" "g" "y"
"166" 20 0.7 120 1
"167" 25 0.7 120 0
"168" 30 0.7 120 1
"169" 20 1 120 1
"170" 25 1 120 1
"171" 30 1 120 0
"172" 20 0.4 140 1
"173" 25 0.4 140 0
"174" 30 0.4 140 0
"175" 20 0.7 140 0
"176" 25 0.7 140 1
"177" 30 0.7 140 1
"178" 20 1 140 0
"179" 25 1 140 1
"180" 30 1 140 0
"181" 20 0.4 160 1
"182" 25 0.4 160 0
"183" 30 0.4 160 1
"184" 20 0.7 160 1
"185" 25 0.7 160 0
"186" 30 0.7 160 1
"187" 20 1 160 1
"188" 25 1 160 1
"189" 30 1 160 1
"190" 20 0.4 120 1
"191" 25 0.4 120 1
"192" 30 0.4 120 0
"193" 20 0.7 120 1
"194" 25 0.7 120 0
"195" 30 0.7 120 1
"196" 20 1 120 1
"197" 25 1 120 1
"198" 30 1 120 0
"199" 20 0.4 140 1
"200" 25 0.4 140 0
"201" 30 0.4 140 0
"202" 20 0.7 140 0
"203" 25 0.7 140 1
"204" 30 0.7 140 1
"205" 20 1 140 1
"206" 25 1 140 1
"207" 30 1 140 1
"208" 20 0.4 160 1
"209" 25 0.4 160 0
"210" 30 0.4 160 0
"211" 20 0.7 160 1
"212" 25 0.7 160 0
"213" 30 0.7 160 0
"214" 20 1 160 1
"215" 25 1 160 1
"216" 30 1 160 1
"217" 20 0.4 120 1
"218" 25 0.4 120 0
"219" 30 0.4 120 1
"220" 20 0.7 120 0
"221" 25 0.7 120 0
"222" 30 0.7 120 1
"223" 20 1 120 0
"224" 25 1 120 1
"225" 30 1 120 1
"226" 20 0.4 140 1
"227" 25 0.4 140 1
"228" 30 0.4 140 0
"229" 20 0.7 140 0
"230" 25 0.7 140 0
"231" 30 0.7 140 0
"232" 20 1 140 1
"233" 25 1 140 0
"234" 30 1 140 1
"235" 20 0.4 160 0
"236" 25 0.4 160 0
"237" 30 0.4 160 0
"238" 20 0.7 160 0
"239" 25 0.7 160 0
"240" 30 0.7 160 1
"241" 20 1 160 1
"242" 25 1 160 1
"243" 30 1 160 0
"244" 20 0.4 120 0
"245" 25 0.4 120 0
"246" 30 0.4 120 0
"247" 20 0.7 120 1
"248" 25 0.7 120 1
"249" 30 0.7 120 0
"250" 20 1 120 1
"251" 25 1 120 0
"252" 30 1 120 1
"253" 20 0.4 140 1
"254" 25 0.4 140 0
"255" 30 0.4 140 1
"256" 20 0.7 140 1
"257" 25 0.7 140 1
"258" 30 0.7 140 0
"259" 20 1 140 0
"260" 25 1 140 0
"261" 30 1 140 1
"262" 20 0.4 160 1
"263" 25 0.4 160 1
"264" 30 0.4 160 1
"265" 20 0.7 160 1
"266" 25 0.7 160 1
"267" 30 0.7 160 0
"268" 20 1 160 0
"269" 25 1 160 1
"270" 30 1 160 0
"271" 20 0.4 120 0
"272" 25 0.4 120 1
"273" 30 0.4 120 0
"274" 20 0.7 120 1
"275" 25 0.7 120 0
"276" 30 0.7 120 1
"277" 20 1 120 0
"278" 25 1 120 1
"279" 30 1 120 1
"280" 20 0.4 140 1
"281" 25 0.4 140 0
"282" 30 0.4 140 0
"283" 20 0.7 140 1
"284" 25 0.7 140 1
"285" 30 0.7 140 0
"286" 20 1 140 1
"287" 25 1 140 1
"288" 30 1 140 0
"289" 20 0.4 160 1
"290" 25 0.4 160 1
"291" 30 0.4 160 0
"292" 20 0.7 160 1
"293" 25 0.7 160 0
"294" 30 0.7 160 0
"295" 20 1 160 0
"296" 25 1 160 0
"297" 30 1 160 0
"298" 20 0.4 120 0
"299" 25 0.4 120 1
"300" 30 0.4 120 0
"301" 20 0.7 120 0
"302" 25 0.7 120 0
"303" 30 0.7 120 0
"304" 20 1 120 1
"305" 25 1 120 1
"306" 30 1 120 1
"307" 20 0.4 140 0
"308" 25 0.4 140 1
"309" 30 0.4 140 1
"310" 20 0.7 140 1
"311" 25 0.7 140 1
"312" 30 0.7 140 1
"313" 20 1 140 0
"314" 25 1 140 1
"315" 30 1 140 0
"316" 20 0.4 160 0
"317" 25 0.4 160 1
"318" 30 0.4 160 0
"319" 20 0.7 160 0
"320" 25 0.7 160 1
"321" 30 0.7 160 0
"322" 20 1 160 1
"323" 25 1 160 0
"324" 30 1 160 0
"325" 20 0.4 120 0
"326" 25 0.4 120 1
"327" 30 0.4 120 0
"328" 20 0.7 120 1
"329" 25 0.7 120 0
"330" 30 0.7 120 0
"331" 20 1 120 1
"332" 25 1 120 1
"333" 30 1 120 1
"334" 20 0.4 140 1
"335" 25 0.4 140 0
"336" 30 0.4 140 0
"337" 20 0.7 140 0
"338" 25 0.7 140 0
"339" 30 0.7 140 0
"340" 20 1 140 0
"341" 25 1 140 0
"342" 30 1 140 0
"343" 20 0.4 160 1
"344" 25 0.4 160 0
"345" 30 0.4 160 0
"346" 20 0.7 160 1
"347" 25 0.7 160 1
"348" 30 0.7 160 1
"349" 20 1 160 1
"350" 25 1 160 1
"351" 30 1 160 1
"352" 20 0.4 120 0
"353" 25 0.4 120 0
"354" 30 0.4 120 1
"355" 20 0.7 120 0
"356" 25 0.7 120 0
"357" 30 0.7 120 1
"358" 20 1 120 1
"359" 25 1 120 1
"360" 30 1 120 0
"361" 20 0.4 140 0
"362" 25 0.4 140 1
"363" 30 0.4 140 0
"364" 20 0.7 140 0
"365" 25 0.7 140 0
"366" 30 0.7 140 1
"367" 20 1 140 1
"368" 25 1 140 1
"369" 30 1 140 1
"370" 20 0.4 160 1
"371" 25 0.4 160 1
"372" 30 0.4 160 0
"373" 20 0.7 160 0
"374" 25 0.7 160 0
"375" 30 0.7 160 0
"376" 20 1 160 1
"377" 25 1 160 0
"378" 30 1 160 0
"379" 20 0.4 120 1
"380" 25 0.4 120 1
"381" 30 0.4 120 0
"382" 20 0.7 120 0
"383" 25 0.7 120 1
"384" 30 0.7 120 0
"385" 20 1 120 0
"386" 25 1 120 1
"387" 30 1 120 0
"388" 20 0.4 140 0
"389" 25 0.4 140 0
"390" 30 0.4 140 0
"391" 20 0.7 140 1
"392" 25 0.7 140 0
"393" 30 0.7 140 0
"394" 20 1 140 1
"395" 25 1 140 1
"396" 30 1 140 0
"397" 20 0.4 160 0
"398" 25 0.4 160 1
"399" 30 0.4 160 1
"400" 20 0.7 160 1
"401" 25 0.7 160 0
"402" 30 0.7 160 1
"403" 20 1 160 1
"404" 25 1 160 0
"405" 30 1 160 0
"406" 20 0.4 120 0
"407" 25 0.4 120 0
"408" 30 0.4 120 1
"409" 20 0.7 120 1
"410" 25 0.7 120 1
"411" 30 0.7 120 1
"412" 20 1 120 0
"413" 25 1 120 1
"414" 30 1 120 1
"415" 20 0.4 140 1
"416" 25 0.4 140 1
"417" 30 0.4 140 0
"418" 20 0.7 140 0
"419" 25 0.7 140 0
"420" 30 0.7 140 1
"421" 20 1 140 1
"422" 25 1 140 1
"423" 30 1 140 0
"424" 20 0.4 160 1
"425" 25 0.4 160 1
"426" 30 0.4 160 0
"427" 20 0.7 160 1
"428" 25 0.7 160 1
"429" 30 0.7 160 1
"430" 20 1 160 1
"431" 25 1 160 0
"432" 30 1 160 1
"433" 20 0.4 120 0
"434" 25 0.4 120 1
"435" 30 0.4 120 0
"436" 20 0.7 120 0
"437" 25 0.7 120 1
"438" 30 0.7 120 1
"439" 20 1 120 0
"440" 25 1 120 1
"441" 30 1 120 0
"442" 20 0.4 140 1
"443" 25 0.4 140 0
"444" 30 0.4 140 0
"445" 20 0.7 140 1
"446" 25 0.7 140 1
"447" 30 0.7 140 0
"448" 20 1 140 1
"449" 25 1 140 0
"450" 30 1 140 1
"451" 20 0.4 160 1
"452" 25 0.4 160 0
"453" 30 0.4 160 0
"454" 20 0.7 160 1
"455" 25 0.7 160 0
"456" 30 0.7 160 1
"457" 20 1 160 0
"458" 25 1 160 1
"459" 30 1 160 1
"460" 20 0.4 120 0
"461" 25 0.4 120 1
"462" 30 0.4 120 1
"463" 20 0.7 120 0
"464" 25 0.7 120 0
"465" 30 0.7 120 0
"466" 20 1 120 0
"467" 25 1 120 1
"468" 30 1 120 1
"469" 20 0.4 140 0
"470" 25 0.4 140 0
"471" 30 0.4 140 0
"472" 20 0.7 140 0
"473" 25 0.7 140 1
"474" 30 0.7 140 0
"475" 20 1 140 1
"476" 25 1 140 1
"477" 30 1 140 1
"478" 20 0.4 160 1
"479" 25 0.4 160 0
"480" 30 0.4 160 1
"481" 20 0.7 160 1
"482" 25 0.7 160 0
"483" 30 0.7 160 0
"484" 20 1 160 1
"485" 25 1 160 1
"486" 30 1 160 1
"487" 20 0.4 120 1
"488" 25 0.4 120 0
"489" 30 0.4 120 1
"490" 20 0.7 120 1
"491" 25 0.7 120 1
"492" 30 0.7 120 0
"493" 20 1 120 0
"494" 25 1 120 1
"495" 30 1 120 1
"496" 20 0.4 140 1
"497" 25 0.4 140 0
"498" 30 0.4 140 1
"499" 20 0.7 140 1
"500" 25 0.7 140 1
"501" 30 0.7 140 0
"502" 20 1 140 0
"503" 25 1 140 1
"504" 30 1 140 1
"505" 20 0.4 160 1
"506" 25 0.4 160 0
"507" 30 0.4 160 0
"508" 20 0.7 160 1
"509" 25 0.7 160 0
"510" 30 0.7 160 1
"511" 20 1 160 1
"512" 25 1 160 0
"513" 30 1 160 0
"514" 20 0.4 120 0
"515" 25 0.4 120 1
"516" 30 0.4 120 1
"517" 20 0.7 120 0
"518" 25 0.7 120 1
"519" 30 0.7 120 1
"520" 20 1 120 0
"521" 25 1 120 0
"522" 30 1 120 0
"523" 20 0.4 140 0
"524" 25 0.4 140 0
"525" 30 0.4 140 0
"526" 20 0.7 140 1
"527" 25 0.7 140 1
"528" 30 0.7 140 1
"529" 20 1 140 0
"530" 25 1 140 0
"531" 30 1 140 0
"532" 20 0.4 160 0
"533" 25 0.4 160 1
"534" 30 0.4 160 0
"535" 20 0.7 160 0
"536" 25 0.7 160 1
"537" 30 0.7 160 0
"538" 20 1 160 0
"539" 25 1 160 1
"540" 30 1 160 0
"541" 20 0.4 120 0
"542" 25 0.4 120 0
"543" 30 0.4 120 0
"544" 20 0.7 120 1
"545" 25 0.7 120 0
"546" 30 0.7 120 1
"547" 20 1 120 0
"548" 25 1 120 0
"549" 30 1 120 0
"550" 20 0.4 140 1
"551" 25 0.4 140 1
"552" 30 0.4 140 0
"553" 20 0.7 140 0
"554" 25 0.7 140 1
"555" 30 0.7 140 0
"556" 20 1 140 0
"557" 25 1 140 1
"558" 30 1 140 0
"559" 20 0.4 160 0
"560" 25 0.4 160 0
"561" 30 0.4 160 0
"562" 20 0.7 160 1
"563" 25 0.7 160 0
"564" 30 0.7 160 0
"565" 20 1 160 1
"566" 25 1 160 0
"567" 30 1 160 1
"568" 20 0.4 120 0
"569" 25 0.4 120 0
"570" 30 0.4 120 1
"571" 20 0.7 120 1
"572" 25 0.7 120 0
"573" 30 0.7 120 0
"574" 20 1 120 1
"575" 25 1 120 0
"576" 30 1 120 1
"577" 20 0.4 140 1
"578" 25 0.4 140 0
"579" 30 0.4 140 1
"580" 20 0.7 140 1
"581" 25 0.7 140 1
"582" 30 0.7 140 0
"583" 20 1 140 0
"584" 25 1 140 1
"585" 30 1 140 0
"586" 20 0.4 160 0
"587" 25 0.4 160 0
"588" 30 0.4 160 0
"589" 20 0.7 160 1
"590" 25 0.7 160 0
"591" 30 0.7 160 0
"592" 20 1 160 0
"593" 25 1 160 0
"594" 30 1 160 0
"595" 20 0.4 120 0
"596" 25 0.4 120 0
"597" 30 0.4 120 1
"598" 20 0.7 120 0
"599" 25 0.7 120 1
"600" 30 0.7 120 0
"601" 20 1 120 1
"602" 25 1 120 0
"603" 30 1 120 1
"604" 20 0.4 140 0
"605" 25 0.4 140 1
"606" 30 0.4 140 0
"607" 20 0.7 140 1
"608" 25 0.7 140 0
"609" 30 0.7 140 0
"610" 20 1 140 1
"611" 25 1 140 1
"612" 30 1 140 0
"613" 20 0.4 160 0
"614" 25 0.4 160 1
"615" 30 0.4 160 0
"616" 20 0.7 160 1
"617" 25 0.7 160 1
"618" 30 0.7 160 1
"619" 20 1 160 0
"620" 25 1 160 1
"621" 30 1 160 0
"622" 20 0.4 120 0
"623" 25 0.4 120 1
"624" 30 0.4 120 1
"625" 20 0.7 120 0
"626" 25 0.7 120 0
"627" 30 0.7 120 1
"628" 20 1 120 1
"629" 25 1 120 1
"630" 30 1 120 0
"631" 20 0.4 140 1
"632" 25 0.4 140 0
"633" 30 0.4 140 1
"634" 20 0.7 140 0
"635" 25 0.7 140 0
"636" 30 0.7 140 1
"637" 20 1 140 0
"638" 25 1 140 1
"639" 30 1 140 0
"640" 20 0.4 160 1
"641" 25 0.4 160 1
"642" 30 0.4 160 1
"643" 20 0.7 160 0
"644" 25 0.7 160 0
"645" 30 0.7 160 0
"646" 20 1 160 1
"647" 25 1 160 1
"648" 30 1 160 0
"649" 20 0.4 120 1
"650" 25 0.4 120 0
"651" 30 0.4 120 1
"652" 20 0.7 120 0
"653" 25 0.7 120 0
"654" 30 0.7 120 1
"655" 20 1 120 1
"656" 25 1 120 1
"657" 30 1 120 1
"658" 20 0.4 140 1
"659" 25 0.4 140 1
"660" 30 0.4 140 0
"661" 20 0.7 140 0
"662" 25 0.7 140 0
"663" 30 0.7 140 0
"664" 20 1 140 0
"665" 25 1 140 0
"666" 30 1 140 1
"667" 20 0.4 160 0
"668" 25 0.4 160 1
"669" 30 0.4 160 0
"670" 20 0.7 160 1
"671" 25 0.7 160 1
"672" 30 0.7 160 1
"673" 20 1 160 1
"674" 25 1 160 0
"675" 30 1 160 1
"676" 20 0.4 120 0
"677" 25 0.4 120 0
"678" 30 0.4 120 0
"679" 20 0.7 120 0
"680" 25 0.7 120 0
"681" 30 0.7 120 0
"682" 20 1 120 0
"683" 25 1 120 1
"684" 30 1 120 0
"685" 20 0.4 140 1
"686" 25 0.4 140 1
"687" 30 0.4 140 0
"688" 20 0.7 140 1
"689" 25 0.7 140 0
"690" 30 0.7 140 0
"691" 20 1 140 1
"692" 25 1 140 1
"693" 30 1 140 0
"694" 20 0.4 160 0
"695" 25 0.4 160 0
"696" 30 0.4 160 1
"697" 20 0.7 160 1
"698" 25 0.7 160 0
"699" 30 0.7 160 0
"700" 20 1 160 0
"701" 25 1 160 1
"702" 30 1 160 1
"703" 20 0.4 120 0
"704" 25 0.4 120 1
"705" 30 0.4 120 0
"706" 20 0.7 120 1
"707" 25 0.7 120 1
"708" 30 0.7 120 0
"709" 20 1 120 1
"710" 25 1 120 0
"711" 30 1 120 1
"712" 20 0.4 140 0
"713" 25 0.4 140 0
"714" 30 0.4 140 0
"715" 20 0.7 140 0
"716" 25 0.7 140 1
"717" 30 0.7 140 1
"718" 20 1 140 1
"719" 25 1 140 1
"720" 30 1 140 1
"721" 20 0.4 160 1
"722" 25 0.4 160 1
"723" 30 0.4 160 1
"724" 20 0.7 160 0
"725" 25 0.7 160 0
"726" 30 0.7 160 1
"727" 20 1 160 1
"728" 25 1 160 1
"729" 30 1 160 1
"730" 20 0.4 120 1
"731" 25 0.4 120 0
"732" 30 0.4 120 1
"733" 20 0.7 120 0
"734" 25 0.7 120 1
"735" 30 0.7 120 1
"736" 20 1 120 0
"737" 25 1 120 0
"738" 30 1 120 0
"739" 20 0.4 140 0
"740" 25 0.4 140 1
"741" 30 0.4 140 0
"742" 20 0.7 140 0
"743" 25 0.7 140 1
"744" 30 0.7 140 0
"745" 20 1 140 1
"746" 25 1 140 1
"747" 30 1 140 0
"748" 20 0.4 160 1
"749" 25 0.4 160 1
"750" 30 0.4 160 0
"751" 20 0.7 160 1
"752" 25 0.7 160 1
"753" 30 0.7 160 1
"754" 20 1 160 1
"755" 25 1 160 1
"756" 30 1 160 1
"757" 20 0.4 120 0
"758" 25 0.4 120 0
"759" 30 0.4 120 0
"760" 20 0.7 120 0
"761" 25 0.7 120 0
"762" 30 0.7 120 1
"763" 20 1 120 1
"764" 25 1 120 1
"765" 30 1 120 0
"766" 20 0.4 140 1
"767" 25 0.4 140 0
"768" 30 0.4 140 1
"769" 20 0.7 140 1
"770" 25 0.7 140 1
"771" 30 0.7 140 1
"772" 20 1 140 0
"773" 25 1 140 0
"774" 30 1 140 0
"775" 20 0.4 160 0
"776" 25 0.4 160 1
"777" 30 0.4 160 1
"778" 20 0.7 160 1
"779" 25 0.7 160 1
"780" 30 0.7 160 0
"781" 20 1 160 1
"782" 25 1 160 0
"783" 30 1 160 1
"784" 20 0.4 120 0
"785" 25 0.4 120 1
"786" 30 0.4 120 1
"787" 20 0.7 120 1
"788" 25 0.7 120 1
"789" 30 0.7 120 0
"790" 20 1 120 0
"791" 25 1 120 1
"792" 30 1 120 0
"793" 20 0.4 140 0
"794" 25 0.4 140 1
"795" 30 0.4 140 1
"796" 20 0.7 140 0
"797" 25 0.7 140 0
"798" 30 0.7 140 0
"799" 20 1 140 0
"800" 25 1 140 0
"801" 30 1 140 0
"802" 20 0.4 160 0
"803" 25 0.4 160 0
"804" 30 0.4 160 0
"805" 20 0.7 160 1
"806" 25 0.7 160 0
"807" 30 0.7 160 1
"808" 20 1 160 1
"809" 25 1 160 1
"810" 30 1 160 0
